Frequency,Magnitude_Phase
Freq.,mag(V(input)/I(R1))
1.00000000000000e+02,"(5.99999621262882e+01dB,0.00000000000000e+00°)"
1.02329299228075e+02,"(5.99999603413633e+01dB,0.00000000000000e+00°)"
1.04712854805090e+02,"(5.99999584723183e+01dB,0.00000000000000e+00°)"
1.07151930523761e+02,"(5.99999565151887e+01dB,0.00000000000000e+00°)"
1.09647819614318e+02,"(5.99999544658234e+01dB,0.00000000000000e+00°)"
1.12201845430196e+02,"(5.99999523198756e+01dB,0.00000000000000e+00°)"
1.14815362149688e+02,"(5.99999500727935e+01dB,0.00000000000000e+00°)"
1.17489755493953e+02,"(5.99999477198109e+01dB,0.00000000000000e+00°)"
1.20226443461741e+02,"(5.99999452559370e+01dB,0.00000000000000e+00°)"
1.23026877081238e+02,"(5.99999426759458e+01dB,0.00000000000000e+00°)"
1.25892541179417e+02,"(5.99999399743651e+01dB,0.00000000000000e+00°)"
1.28824955169313e+02,"(5.99999371454645e+01dB,0.00000000000000e+00°)"
1.31825673855641e+02,"(5.99999341832440e+01dB,0.00000000000000e+00°)"
1.34896288259165e+02,"(5.99999310814204e+01dB,0.00000000000000e+00°)"
1.38038426460288e+02,"(5.99999278334148e+01dB,0.00000000000000e+00°)"
1.41253754462275e+02,"(5.99999244323380e+01dB,0.00000000000000e+00°)"
1.44543977074593e+02,"(5.99999208709763e+01dB,0.00000000000000e+00°)"
1.47910838816821e+02,"(5.99999171417759e+01dB,0.00000000000000e+00°)"
1.51356124843621e+02,"(5.99999132368271e+01dB,0.00000000000000e+00°)"
1.54881661891248e+02,"(5.99999091478475e+01dB,0.00000000000000e+00°)"
1.58489319246111e+02,"(5.99999048661643e+01dB,0.00000000000000e+00°)"
1.62181009735893e+02,"(5.99999003826962e+01dB,0.00000000000000e+00°)"
1.65958690743756e+02,"(5.99998956879337e+01dB,0.00000000000000e+00°)"
1.69824365246174e+02,"(5.99998907719193e+01dB,0.00000000000000e+00°)"
1.73780082874937e+02,"(5.99998856242262e+01dB,0.00000000000000e+00°)"
1.77827941003892e+02,"(5.99998802339364e+01dB,0.00000000000000e+00°)"
1.81970085860998e+02,"(5.99998745896172e+01dB,0.00000000000000e+00°)"
1.86208713666287e+02,"(5.99998686792973e+01dB,0.00000000000000e+00°)"
1.90546071796324e+02,"(5.99998624904413e+01dB,0.00000000000000e+00°)"
1.94984459975804e+02,"(5.99998560099229e+01dB,0.00000000000000e+00°)"
1.99526231496888e+02,"(5.99998492239974e+01dB,0.00000000000000e+00°)"
2.04173794466953e+02,"(5.99998421182725e+01dB,0.00000000000000e+00°)"
2.08929613085404e+02,"(5.99998346776775e+01dB,0.00000000000000e+00°)"
2.13796208950223e+02,"(5.99998268864318e+01dB,0.00000000000000e+00°)"
2.18776162394955e+02,"(5.99998187280109e+01dB,0.00000000000000e+00°)"
2.23872113856834e+02,"(5.99998101851120e+01dB,0.00000000000000e+00°)"
2.29086765276777e+02,"(5.99998012396166e+01dB,0.00000000000000e+00°)"
2.34422881531992e+02,"(5.99997918725528e+01dB,0.00000000000000e+00°)"
2.39883291901949e+02,"(5.99997820640545e+01dB,0.00000000000000e+00°)"
2.45470891568503e+02,"(5.99997717933196e+01dB,0.00000000000000e+00°)"
2.51188643150958e+02,"(5.99997610385660e+01dB,0.00000000000000e+00°)"
2.57039578276886e+02,"(5.99997497769850e+01dB,0.00000000000000e+00°)"
2.63026799189538e+02,"(5.99997379846934e+01dB,0.00000000000000e+00°)"
2.69153480392691e+02,"(5.99997256366824e+01dB,0.00000000000000e+00°)"
2.75422870333816e+02,"(5.99997127067653e+01dB,0.00000000000000e+00°)"
2.81838293126445e+02,"(5.99996991675212e+01dB,0.00000000000000e+00°)"
2.88403150312660e+02,"(5.99996849902375e+01dB,0.00000000000000e+00°)"
2.95120922666638e+02,"(5.99996701448485e+01dB,0.00000000000000e+00°)"
3.01995172040201e+02,"(5.99996545998723e+01dB,0.00000000000000e+00°)"
3.09029543251358e+02,"(5.99996383223436e+01dB,0.00000000000000e+00°)"
3.16227766016837e+02,"(5.99996212777440e+01dB,0.00000000000000e+00°)"
3.23593656929628e+02,"(5.99996034299288e+01dB,0.00000000000000e+00°)"
3.31131121482590e+02,"(5.99995847410507e+01dB,0.00000000000000e+00°)"
3.38844156139202e+02,"(5.99995651714790e+01dB,0.00000000000000e+00°)"
3.46736850452531e+02,"(5.99995446797164e+01dB,0.00000000000000e+00°)"
3.54813389233575e+02,"(5.99995232223104e+01dB,0.00000000000000e+00°)"
3.63078054770101e+02,"(5.99995007537616e+01dB,0.00000000000000e+00°)"
3.71535229097172e+02,"(5.99994772264273e+01dB,0.00000000000000e+00°)"
3.80189396320560e+02,"(5.99994525904205e+01dB,0.00000000000000e+00°)"
3.89045144994280e+02,"(5.99994267935043e+01dB,0.00000000000000e+00°)"
3.98107170553496e+02,"(5.99993997809811e+01dB,0.00000000000000e+00°)"
4.07380277804112e+02,"(5.99993714955770e+01dB,0.00000000000000e+00°)"
4.16869383470335e+02,"(5.99993418773203e+01dB,0.00000000000000e+00°)"
4.26579518801592e+02,"(5.99993108634147e+01dB,0.00000000000000e+00°)"
4.36515832240165e+02,"(5.99992783881061e+01dB,0.00000000000000e+00°)"
4.46683592150962e+02,"(5.99992443825437e+01dB,0.00000000000000e+00°)"
4.57088189614874e+02,"(5.99992087746338e+01dB,0.00000000000000e+00°)"
4.67735141287197e+02,"(5.99991714888878e+01dB,0.00000000000000e+00°)"
4.78630092322637e+02,"(5.99991324462618e+01dB,0.00000000000000e+00°)"
4.89778819368445e+02,"(5.99990915639897e+01dB,0.00000000000000e+00°)"
5.01187233627271e+02,"(5.99990487554079e+01dB,0.00000000000000e+00°)"
5.12861383991364e+02,"(5.99990039297721e+01dB,0.00000000000000e+00°)"
5.24807460249771e+02,"(5.99989569920650e+01dB,0.00000000000000e+00°)"
5.37031796370251e+02,"(5.99989078427957e+01dB,0.00000000000000e+00°)"
5.49540873857623e+02,"(5.99988563777889e+01dB,0.00000000000000e+00°)"
5.62341325190348e+02,"(5.99988024879646e+01dB,0.00000000000000e+00°)"
5.75439937337155e+02,"(5.99987460591079e+01dB,0.00000000000000e+00°)"
5.88843655355587e+02,"(5.99986869716269e+01dB,0.00000000000000e+00°)"
6.02559586074356e+02,"(5.99986251003004e+01dB,0.00000000000000e+00°)"
6.16595001861481e+02,"(5.99985603140127e+01dB,0.00000000000000e+00°)"
6.30957344480192e+02,"(5.99984924754773e+01dB,0.00000000000000e+00°)"
6.45654229034654e+02,"(5.99984214409459e+01dB,0.00000000000000e+00°)"
6.60693448007594e+02,"(5.99983470599054e+01dB,0.00000000000000e+00°)"
6.76082975391980e+02,"(5.99982691747599e+01dB,0.00000000000000e+00°)"
6.91830970918935e+02,"(5.99981876204976e+01dB,0.00000000000000e+00°)"
7.07945784384136e+02,"(5.99981022243427e+01dB,0.00000000000000e+00°)"
7.24435960074988e+02,"(5.99980128053907e+01dB,0.00000000000000e+00°)"
7.41310241300916e+02,"(5.99979191742266e+01dB,0.00000000000000e+00°)"
7.58577575029182e+02,"(5.99978211325252e+01dB,0.00000000000000e+00°)"
7.76247116628690e+02,"(5.99977184726330e+01dB,0.00000000000000e+00°)"
7.94328234724279e+02,"(5.99976109771299e+01dB,0.00000000000000e+00°)"
8.12830516164097e+02,"(5.99974984183715e+01dB,0.00000000000000e+00°)"
8.31763771102669e+02,"(5.99973805580090e+01dB,0.00000000000000e+00°)"
8.51138038202374e+02,"(5.99972571464867e+01dB,0.00000000000000e+00°)"
8.70963589956078e+02,"(5.99971279225173e+01dB,0.00000000000000e+00°)"
8.91250938133743e+02,"(5.99969926125308e+01dB,0.00000000000000e+00°)"
9.12010839355907e+02,"(5.99968509300994e+01dB,0.00000000000000e+00°)"
9.33254300796988e+02,"(5.99967025753346e+01dB,0.00000000000000e+00°)"
9.54992586021433e+02,"(5.99965472342567e+01dB,0.00000000000000e+00°)"
9.77237220955808e+02,"(5.99963845781344e+01dB,0.00000000000000e+00°)"
9.99999999999997e+02,"(5.99962142627943e+01dB,0.00000000000000e+00°)"
1.02329299228075e+03,"(5.99960359278980e+01dB,0.00000000000000e+00°)"
1.04712854805090e+03,"(5.99958491961855e+01dB,0.00000000000000e+00°)"
1.07151930523760e+03,"(5.99956536726834e+01dB,0.00000000000000e+00°)"
1.09647819614318e+03,"(5.99954489438769e+01dB,0.00000000000000e+00°)"
1.12201845430196e+03,"(5.99952345768424e+01dB,0.00000000000000e+00°)"
1.14815362149688e+03,"(5.99950101183412e+01dB,0.00000000000000e+00°)"
1.17489755493953e+03,"(5.99947750938698e+01dB,0.00000000000000e+00°)"
1.20226443461741e+03,"(5.99945290066675e+01dB,0.00000000000000e+00°)"
1.23026877081238e+03,"(5.99942713366772e+01dB,0.00000000000000e+00°)"
1.25892541179416e+03,"(5.99940015394588e+01dB,0.00000000000000e+00°)"
1.28824955169313e+03,"(5.99937190450523e+01dB,0.00000000000000e+00°)"
1.31825673855640e+03,"(5.99934232567879e+01dB,0.00000000000000e+00°)"
1.34896288259165e+03,"(5.99931135500426e+01dB,0.00000000000000e+00°)"
1.38038426460288e+03,"(5.99927892709382e+01dB,0.00000000000000e+00°)"
1.41253754462275e+03,"(5.99924497349803e+01dB,0.00000000000000e+00°)"
1.44543977074592e+03,"(5.99920942256347e+01dB,0.00000000000000e+00°)"
1.47910838816820e+03,"(5.99917219928384e+01dB,0.00000000000000e+00°)"
1.51356124843620e+03,"(5.99913322514428e+01dB,0.00000000000000e+00°)"
1.54881661891248e+03,"(5.99909241795848e+01dB,0.00000000000000e+00°)"
1.58489319246111e+03,"(5.99904969169851e+01dB,0.00000000000000e+00°)"
