Freq.	V(input)/I(V1)
1.00000000000000e+02	(7.55558155688485e+01dB,1.77576018244044e+02°)
1.02329299228075e+02	(7.55553999807416e+01dB,1.77519641958197e+02°)
1.04712854805090e+02	(7.55549648500508e+01dB,1.77461958604147e+02°)
1.07151930523761e+02	(7.55545092599476e+01dB,1.77402938171606e+02°)
1.09647819614318e+02	(7.55540322507971e+01dB,1.77342549982221e+02°)
1.12201845430196e+02	(7.55535328181794e+01dB,1.77280762676214e+02°)
1.14815362149688e+02	(7.55530099108208e+01dB,1.77217544198853e+02°)
1.17489755493953e+02	(7.55524624284322e+01dB,1.77152861786783e+02°)
1.20226443461741e+02	(7.55518892194499e+01dB,1.77086681954210e+02°)
1.23026877081238e+02	(7.55512890786748e+01dB,1.77018970478958e+02°)
1.25892541179417e+02	(7.55506607448053e+01dB,1.76949692388396e+02°)
1.28824955169313e+02	(7.55500028978604e+01dB,1.76878811945259e+02°)
1.31825673855641e+02	(7.55493141564870e+01dB,1.76806292633368e+02°)
1.34896288259165e+02	(7.55485930751479e+01dB,1.76732097143267e+02°)
1.38038426460288e+02	(7.55478381411845e+01dB,1.76656187357786e+02°)
1.41253754462275e+02	(7.55470477717494e+01dB,1.76578524337551e+02°)
1.44543977074593e+02	(7.55462203106044e+01dB,1.76499068306464e+02°)
1.47910838816821e+02	(7.55453540247760e+01dB,1.76417778637157e+02°)
1.51356124843621e+02	(7.55444471010661e+01dB,1.76334613836461e+02°)
1.54881661891248e+02	(7.55434976424086e+01dB,1.76249531530903e+02°)
1.58489319246111e+02	(7.55425036640687e+01dB,1.76162488452252e+02°)
1.62181009735893e+02	(7.55414630896768e+01dB,1.76073440423158e+02°)
1.65958690743756e+02	(7.55403737470909e+01dB,1.75982342342897e+02°)
1.69824365246174e+02	(7.55392333640820e+01dB,1.75889148173265e+02°)
1.73780082874937e+02	(7.55380395638345e+01dB,1.75793810924660e+02°)
1.77827941003892e+02	(7.55367898602546e+01dB,1.75696282642376e+02°)
1.81970085860998e+02	(7.55354816530815e+01dB,1.75596514393165e+02°)
1.86208713666287e+02	(7.55341122227908e+01dB,1.75494456252107e+02°)
1.90546071796324e+02	(7.55326787252864e+01dB,1.75390057289834e+02°)
1.94984459975804e+02	(7.55311781863706e+01dB,1.75283265560164e+02°)
1.99526231496888e+02	(7.55296074959857e+01dB,1.75174028088201e+02°)
2.04173794466953e+02	(7.55279634022197e+01dB,1.75062290858952e+02°)
2.08929613085404e+02	(7.55262425050674e+01dB,1.74947998806547e+02°)
2.13796208950223e+02	(7.55244412499399e+01dB,1.74831095804105e+02°)
2.18776162394955e+02	(7.55225559209128e+01dB,1.74711524654345e+02°)
2.23872113856834e+02	(7.55205826337077e+01dB,1.74589227080999e+02°)
2.29086765276777e+02	(7.55185173283959e+01dB,1.74464143721133e+02°)
2.34422881531992e+02	(7.55163557618186e+01dB,1.74336214118453e+02°)
2.39883291901949e+02	(7.55140934997147e+01dB,1.74205376717699e+02°)
2.45470891568503e+02	(7.55117259085479e+01dB,1.74071568860232e+02°)
2.51188643150958e+02	(7.55092481470267e+01dB,1.73934726780916e+02°)
2.57039578276886e+02	(7.55066551573082e+01dB,1.73794785606429e+02°)
2.63026799189538e+02	(7.55039416558796e+01dB,1.73651679355108e+02°)
2.69153480392691e+02	(7.55011021241099e+01dB,1.73505340938480e+02°)
2.75422870333816e+02	(7.54981307984658e+01dB,1.73355702164606e+02°)
2.81838293126445e+02	(7.54950216603845e+01dB,1.73202693743402e+02°)
2.88403150312660e+02	(7.54917684257997e+01dB,1.73046245294073e+02°)
2.95120922666638e+02	(7.54883645343135e+01dB,1.72886285354861e+02°)
3.01995172040201e+02	(7.54848031380126e+01dB,1.72722741395252e+02°)
3.09029543251358e+02	(7.54810770899232e+01dB,1.72555539830854e+02°)
3.16227766016837e+02	(7.54771789321038e+01dB,1.72384606041124e+02°)
3.23593656929628e+02	(7.54731008833733e+01dB,1.72209864390174e+02°)
3.31131121482590e+02	(7.54688348266755e+01dB,1.72031238250851e+02°)
3.38844156139202e+02	(7.54643722960800e+01dB,1.71848650032347e+02°)
3.46736850452531e+02	(7.54597044634242e+01dB,1.71662021211556e+02°)
3.54813389233575e+02	(7.54548221245981e+01dB,1.71471272368448e+02°)
3.63078054770101e+02	(7.54497156854811e+01dB,1.71276323225716e+02°)
3.71535229097172e+02	(7.54443751475380e+01dB,1.71077092692975e+02°)
3.80189396320560e+02	(7.54387900930842e+01dB,1.70873498915800e+02°)
3.89045144994280e+02	(7.54329496702351e+01dB,1.70665459329900e+02°)
3.98107170553496e+02	(7.54268425775551e+01dB,1.70452890720740e+02°)
4.07380277804112e+02	(7.54204570484243e+01dB,1.70235709288925e+02°)
4.16869383470335e+02	(7.54137808351466e+01dB,1.70013830721693e+02°)
4.26579518801592e+02	(7.54068011928252e+01dB,1.69787170270836e+02°)
4.36515832240165e+02	(7.53995048630336e+01dB,1.69555642837410e+02°)
4.46683592150962e+02	(7.53918780573185e+01dB,1.69319163063601e+02°)
4.57088189614874e+02	(7.53839064405707e+01dB,1.69077645432090e+02°)
4.67735141287197e+02	(7.53755751143089e+01dB,1.68831004373301e+02°)
4.78630092322637e+02	(7.53668685999242e+01dB,1.68579154380906e+02°)
4.89778819368445e+02	(7.53577708219386e+01dB,1.68322010135961e+02°)
5.01187233627271e+02	(7.53482650913383e+01dB,1.68059486640046e+02°)
5.12861383991364e+02	(7.53383340890462e+01dB,1.67791499357788e+02°)
5.24807460249771e+02	(7.53279598496074e+01dB,1.67517964369134e+02°)
5.37031796370251e+02	(7.53171237451661e+01dB,1.67238798531742e+02°)
5.49540873857623e+02	(7.53058064698188e+01dB,1.66953919653821e+02°)
5.62341325190348e+02	(7.52939880244411e+01dB,1.66663246677783e+02°)
5.75439937337155e+02	(7.52816477020854e+01dB,1.66366699874997e+02°)
5.88843655355587e+02	(7.52687640740617e+01dB,1.66064201051949e+02°)
6.02559586074356e+02	(7.52553149768183e+01dB,1.65755673768072e+02°)
6.16595001861481e+02	(7.52412774997478e+01dB,1.65441043565464e+02°)
6.30957344480192e+02	(7.52266279740539e+01dB,1.65120238210699e+02°)
6.45654229034654e+02	(7.52113419628208e+01dB,1.64793187948851e+02°)
6.60693448007594e+02	(7.51953942524375e+01dB,1.64459825769840e+02°)
6.76082975391980e+02	(7.51787588455360e+01dB,1.64120087687112e+02°)
6.91830970918935e+02	(7.51614089556117e+01dB,1.63773913028626e+02°)
7.07945784384136e+02	(7.51433170035016e+01dB,1.63421244740021e+02°)
7.24435960074988e+02	(7.51244546159033e+01dB,1.63062029699771e+02°)
7.41310241300916e+02	(7.51047926261242e+01dB,1.62696219046030e+02°)
7.58577575029182e+02	(7.50843010772572e+01dB,1.62323768514785e+02°)
7.76247116628690e+02	(7.50629492279837e+01dB,1.61944638788796e+02°)
7.94328234724279e+02	(7.50407055612082e+01dB,1.61558795856719e+02°)
8.12830516164097e+02	(7.50175377957328e+01dB,1.61166211381661e+02°)
8.31763771102669e+02	(7.49934129011805e+01dB,1.60766863078274e+02°)
8.51138038202374e+02	(7.49682971163751e+01dB,1.60360735097378e+02°)
8.70963589956078e+02	(7.49421559713851e+01dB,1.59947818416930e+02°)
8.91250938133743e+02	(7.49149543134327e+01dB,1.59528111238003e+02°)
9.12010839355907e+02	(7.48866563368633e+01dB,1.59101619384304e+02°)
9.33254300796988e+02	(7.48572256173617e+01dB,1.58668356703544e+02°)
9.54992586021433e+02	(7.48266251505895e+01dB,1.58228345468860e+02°)
9.77237220955808e+02	(7.47948173954024e+01dB,1.57781616778281e+02°)
9.99999999999997e+02	(7.47617643217893e+01dB,1.57328210950087e+02°)
1.02329299228075e+03	(7.47274274636534e+01dB,1.56868177911721e+02°)
1.04712854805090e+03	(7.46917679765318e+01dB,1.56401577579784e+02°)
1.07151930523760e+03	(7.46547467003208e+01dB,1.55928480228469e+02°)
1.09647819614318e+03	(7.46163242270447e+01dB,1.55448966843667e+02°)
1.12201845430196e+03	(7.45764609736696e+01dB,1.54963129459845e+02°)
1.14815362149688e+03	(7.45351172599275e+01dB,1.54471071476690e+02°)
1.17489755493953e+03	(7.44922533910719e+01dB,1.53972907952429e+02°)
1.20226443461741e+03	(7.44478297454465e+01dB,1.53468765870680e+02°)
1.23026877081238e+03	(7.44018068666969e+01dB,1.52958784377636e+02°)
1.25892541179416e+03	(7.43541455604096e+01dB,1.52443114986399e+02°)
1.28824955169313e+03	(7.43048069949110e+01dB,1.51921921745307e+02°)
1.31825673855640e+03	(7.42537528059053e+01dB,1.51395381367151e+02°)
1.34896288259165e+03	(7.42009452045803e+01dB,1.50863683316302e+02°)
1.38038426460288e+03	(7.41463470887535e+01dB,1.50327029850912e+02°)
1.41253754462275e+03	(7.40899221565833e+01dB,1.49785636017511e+02°)
1.44543977074592e+03	(7.40316350223146e+01dB,1.49239729595617e+02°)
1.47910838816820e+03	(7.39714513334853e+01dB,1.48689550990181e+02°)
1.51356124843620e+03	(7.39093378889705e+01dB,1.48135353070057e+02°)
1.54881661891248e+03	(7.38452627572039e+01dB,1.47577400951019e+02°)
1.58489319246111e+03	(7.37791953938808e+01dB,1.47015971722260e+02°)
1.62181009735892e+03	(7.37111067584136e+01dB,1.46451354115724e+02°)
