#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19DF1
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 2.5e+07 Hz
#Steps: 1001
#Resistor: 1000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.59649 V
#Offset: -0.000293363 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.52037 V
#Offset: 0.000204438 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm)
100.0000000000002,-0.8302139636718299,1218.553310803389,1218.425389833911
101.2506779923468,-0.838058092336762,1218.629013657296,1218.498655936558
102.5169979390988,-0.8489518227115049,1218.604196844322,1218.470430901895
103.7991554707375,-0.856845510904867,1218.508490789842,1218.372236477323
105.0973486644516,-0.8747516089678326,1218.577410698105,1218.435394158362
106.4117780747377,-0.8842126790780902,1218.51302376701,1218.367926319737
107.7426467643831,-0.890846195445392,1218.347389578381,1218.200126936747
109.0901603358368,-0.9023160577685797,1218.536935326533,1218.385832762525
110.4545269629727,-0.9163666018200102,1218.531384220611,1218.375539998355
111.8359574232491,-0.9224598308476998,1218.563564354293,1218.405636594857
113.2346651302718,-0.9336918525069683,1218.52142873585,1218.359637334052
114.6508661667634,-0.9535547801495952,1218.374046052913,1218.205318250717
116.0847793179459,-0.9633128994624879,1218.388978935353,1218.216778112382
117.5366261053395,-0.9732490617243889,1218.464804069414,1218.289021716543
119.0066308209857,-0.9828941446349907,1218.462304053323,1218.2830208173
120.4950205620969,-0.9989022480518236,1218.304356840024,1218.119210335343
122.0020252661405,-1.009579148604563,1218.39042239539,1218.201283554262
123.5278777463613,-1.021061356762413,1218.264637022831,1218.071191552885
125.0728137277478,-1.035522231005891,1218.333744991719,1218.134770206278
126.6370718834493,-1.047168432322552,1218.39419795928,1218.190712417933
128.2208938716475,-1.057371443403065,1218.294116375964,1218.086663378197
129.8245243728903,-1.071239625691745,1218.272642755033,1218.059716194751
131.4482111278906,-1.086993152447365,1218.14518360724,1217.925971577991
133.0922049758004,-1.101494829236974,1218.195204476061,1217.97009531229
134.7567598929616,-1.116595165066486,1218.065344562478,1217.834045928715
136.4421330321422,-1.128734721150025,1218.075865124913,1217.839507944057
138.1485847622634,-1.143683573224402,1218.092496771166,1217.849834446318
139.8763787086233,-1.158675882017506,1218.029151961151,1217.780099088251
141.6257817936234,-1.174954877330573,1217.981986029007,1217.725895945423
143.397064278005,-1.189972222582713,1218.10505545278,1217.842350946977
145.1904998026012,-1.200874269153711,1218.192585187377,1217.925025997928
147.0063654306103,-1.214036330240199,1218.22546271564,1217.951999113686
148.8449416903995,-1.233659613941335,1218.013345908486,1217.731020020237
150.7065126188425,-1.244177918492387,1218.108991197475,1217.821808149045
152.591365805199,-1.26357466698099,1217.970942536082,1217.674769248961
154.4997924355457,-1.277781946170011,1218.079326742987,1217.776429160406
156.4320873377582,-1.296522592998509,1217.971520780272,1217.659701101805
158.38854902706,-1.308096916293099,1217.877552147297,1217.560164993593
160.3694797521385,-1.325828934383592,1217.836848578369,1217.510809650593
162.3751855418392,-1.342750548817787,1217.852174700914,1217.517756338704
164.4059762524429,-1.358057176028908,1217.945433292933,1217.603321261669
166.4621656155348,-1.372780480160791,1217.698559310646,1217.34906030363
168.5440712864718,-1.389406238289598,1217.875909824579,1217.517842256867
170.6520148934566,-1.411464043800876,1217.816518913881,1217.447010548212
172.7863220872251,-1.42872520188682,1217.836370483385,1217.457763529253
174.9473225913551,-1.448169184875721,1217.83694080501,1217.447958929098
177.1353502532047,-1.46600791163334,1217.769035974508,1217.370434775174
179.3507430954872,-1.482624925484726,1217.607761057058,1217.200126956711
181.5938433684925,-1.502226519850115,1217.563001163077,1217.14453326045
183.8649976029586,-1.524734299250781,1217.680828842764,1217.249686261034
186.1645566636074,-1.537123531545278,1217.504444840334,1217.066331185682
188.4928758033487,-1.554422599810251,1217.443457606469,1216.995450291009
190.8503147181623,-1.569153758231584,1217.610600314875,1217.153999147619
193.2372376026666,-1.594996241936672,1217.513989680988,1217.042263499043
195.6540132063816,-1.614556335845603,1217.460999466659,1216.977654205467
198.1010148906967,-1.641649802202557,1217.318809176632,1216.819165497001
200.5786206865499,-1.655563648974064,1217.266813964939,1216.758687203186
203.0872133528289,-1.677231893830802,1217.196078042864,1216.674594634809
205.6271804355027,-1.700635897540467,1217.248037350795,1216.711877089909
208.1989143274919,-1.71992136643943,1216.923570708848,1216.375328316416
210.8028123292903,-1.738125199084242,1217.11466888159,1216.554672730569
213.4392767103404,-1.761158536836175,1216.957987634524,1216.383126384421
216.1087147711804,-1.782307916330001,1216.992661689771,1216.403895109755
218.8115389063666,-1.809233502320701,1216.903881237565,1216.297236868056
221.5481666681834,-1.823621896803641,1216.944986701266,1216.328634972094
