Freq.	mag(V(input)/I(R1))
1.00000000000000e+002	9.99630432595812e+002,0.00000000000000e+000
1.02329299228075e+002	9.99613030034506e+002,0.00000000000000e+000
1.04712854805090e+002	9.99594808724367e+002,0.00000000000000e+000
1.07151930523761e+002	9.99575730214657e+002,0.00000000000000e+000
1.09647819614318e+002	9.99555754255582e+002,0.00000000000000e+000
1.12201845430196e+002	9.99534838714747e+002,0.00000000000000e+000
1.14815362149688e+002	9.99512939489811e+002,0.00000000000000e+000
1.17489755493953e+002	9.99490010417172e+002,0.00000000000000e+000
1.20226443461741e+002	9.99466003176460e+002,0.00000000000000e+000
1.23026877081238e+002	9.99440867190701e+002,0.00000000000000e+000
1.25892541179417e+002	9.99414549521970e+002,0.00000000000000e+000
1.28824955169313e+002	9.99386994762277e+002,0.00000000000000e+000
1.31825673855641e+002	9.99358144919564e+002,0.00000000000000e+000
1.34896288259165e+002	9.99327939298520e+002,0.00000000000000e+000
1.38038426460288e+002	9.99296314376046e+002,0.00000000000000e+000
1.41253754462275e+002	9.99263203671127e+002,0.00000000000000e+000
1.44543977074593e+002	9.99228537608866e+002,0.00000000000000e+000
1.47910838816821e+002	9.99192243378442e+002,0.00000000000000e+000
1.51356124843621e+002	9.99154244784725e+002,0.00000000000000e+000
1.54881661891248e+002	9.99114462093316e+002,0.00000000000000e+000
1.58489319246111e+002	9.99072811868682e+002,0.00000000000000e+000
1.62181009735893e+002	9.99029206805163e+002,0.00000000000000e+000
1.65958690743756e+002	9.98983555550525e+002,0.00000000000000e+000
1.69824365246174e+002	9.98935762521750e+002,0.00000000000000e+000
1.73780082874937e+002	9.98885727712788e+002,0.00000000000000e+000
1.77827941003892e+002	9.98833346493922e+002,0.00000000000000e+000
1.81970085860998e+002	9.98778509402398e+002,0.00000000000000e+000
1.86208713666287e+002	9.98721101924037e+002,0.00000000000000e+000
1.90546071796324e+002	9.98661004265427e+002,0.00000000000000e+000
1.94984459975804e+002	9.98598091116352e+002,0.00000000000000e+000
1.99526231496888e+002	9.98532231402094e+002,0.00000000000000e+000
2.04173794466953e+002	9.98463288025244e+002,0.00000000000000e+000
2.08929613085404e+002	9.98391117596600e+002,0.00000000000000e+000
2.13796208950223e+002	9.98315570154780e+002,0.00000000000000e+000
2.18776162394955e+002	9.98236488874189e+002,0.00000000000000e+000
2.23872113856834e+002	9.98153709760828e+002,0.00000000000000e+000
2.29086765276777e+002	9.98067061335665e+002,0.00000000000000e+000
2.34422881531992e+002	9.97976364305025e+002,0.00000000000000e+000
2.39883291901949e+002	9.97881431217674e+002,0.00000000000000e+000
2.45470891568503e+002	9.97782066108095e+002,0.00000000000000e+000
2.51188643150958e+002	9.97678064125608e+002,0.00000000000000e+000
2.57039578276886e+002	9.97569211148806e+002,0.00000000000000e+000
2.63026799189538e+002	9.97455283384988e+002,0.00000000000000e+000
2.69153480392691e+002	9.97336046954100e+002,0.00000000000000e+000
2.75422870333816e+002	9.97211257456779e+002,0.00000000000000e+000
2.81838293126445e+002	9.97080659526129e+002,0.00000000000000e+000
2.88403150312660e+002	9.96943986362768e+002,0.00000000000000e+000
2.95120922666638e+002	9.96800959252839e+002,0.00000000000000e+000
3.01995172040201e+002	9.96651287068579e+002,0.00000000000000e+000
3.09029543251358e+002	9.96494665751111e+002,0.00000000000000e+000
3.16227766016837e+002	9.96330777775152e+002,0.00000000000000e+000
3.23593656929628e+002	9.96159291595359e+002,0.00000000000000e+000
3.31131121482590e+002	9.95979861074057e+002,0.00000000000000e+000
3.38844156139202e+002	9.95792124890143e+002,0.00000000000000e+000
3.46736850452531e+002	9.95595705929031e+002,0.00000000000000e+000
3.54813389233575e+002	9.95390210653513e+002,0.00000000000000e+000
3.63078054770101e+002	9.95175228455503e+002,0.00000000000000e+000
3.71535229097172e+002	9.94950330988737e+002,0.00000000000000e+000
3.80189396320560e+002	9.94715071482463e+002,0.00000000000000e+000
3.89045144994280e+002	9.94468984036424e+002,0.00000000000000e+000
3.98107170553496e+002	9.94211582897349e+002,0.00000000000000e+000
4.07380277804112e+002	9.93942361717435e+002,0.00000000000000e+000
4.16869383470335e+002	9.93660792795330e+002,0.00000000000000e+000
4.26579518801592e+002	9.93366326300294e+002,0.00000000000000e+000
4.36515832240165e+002	9.93058389480389e+002,0.00000000000000e+000
4.46683592150962e+002	9.92736385855690e+002,0.00000000000000e+000
4.57088189614874e+002	9.92399694397676e+002,0.00000000000000e+000
4.67735141287197e+002	9.92047668696234e+002,0.00000000000000e+000
4.78630092322637e+002	9.91679636115822e+002,0.00000000000000e+000
4.89778819368445e+002	9.91294896942702e+002,0.00000000000000e+000
5.01187233627271e+002	9.90892723525268e+002,0.00000000000000e+000
5.12861383991364e+002	9.90472359409949e+002,0.00000000000000e+000
5.24807460249771e+002	9.90033018475306e+002,0.00000000000000e+000
5.37031796370251e+002	9.89573884067363e+002,0.00000000000000e+000
5.49540873857623e+002	9.89094108139625e+002,0.00000000000000e+000
5.62341325190348e+002	9.88592810401428e+002,0.00000000000000e+000
5.75439937337155e+002	9.88069077478888e+002,0.00000000000000e+000
5.88843655355587e+002	9.87521962093031e+002,0.00000000000000e+000
6.02559586074356e+002	9.86950482260173e+002,0.00000000000000e+000
6.16595001861481e+002	9.86353620520110e+002,0.00000000000000e+000
